GEOID,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density
36047019500,0.345392131,0.004753103,0.045682598,0.0,0.099287035,0.51043042,0.348796242,0.230789543,0.222339583,0.137311856,0.111961975,0.181146026,0.017056856,90279,0.025894897,0.090573013,0.036393265,593900,1941,0.526344378,27655.25501
36047120200,0.626078133,0.0,0.254693049,0.0,0.156265855,0.512430238,0.58933162,0.177067478,0.145611365,0.160832065,0.122272958,0.154236428,0.22027439,37173,0.134482759,0.335870117,0.123478261,470300,1951,0.692173913,12885.13209
36047054900,0.014253563,0.0,0.072268067,0.0,0.193548387,0.505376344,0.436306729,0.248562141,0.267816954,0.130032508,0.076019005,0.040010003,0.116029989,101348,0.061478599,0.14232022,0.121062384,1265600,2000,0.806670784,20473.88415
36047068600,0.324887387,0.0,0.08277027,0.0,0.126126126,0.45777027,0.557865558,0.112612613,0.140202703,0.146959459,0.148648649,0.248873874,0.09070122,57607,0.076586433,0.059988681,0.185520362,245300,1956,0.340874811,12006.65233
36081043900,0.017475222,0.01799687,0.146061555,0.0,0.776473657,0.569640063,0.464965986,0.163536776,0.146061555,0.159363589,0.107459572,0.149452269,0.422457793,41161,0.095959596,0.242091503,0.265734266,442400,1957,0.63548951,23284.90914
36061024700,0.2046875,0.003125,0.0453125,0.0,0.635286458,0.4875,0.36350554,0.228255208,0.178515625,0.146223958,0.133854167,0.195833333,0.231908168,49508,0.05222767,0.105729167,0.264795144,502800,1939,0.861532625,11702.69665
36061003400,0.032293292,0.0,0.143837754,0.0,0.208268331,0.485023401,0.16918138,0.358190328,0.268174727,0.105304212,0.088455538,0.118408736,0.120088656,79452,0.068911336,0.354914197,0.080605227,722500,1939,0.924071527,40022.97731
36005011800,0.054259259,0.0,0.053888889,0.001296296,0.262037037,0.566851852,0.344126984,0.333518519,0.112037037,0.082037037,0.122037037,0.21037037,0.080879974,84063,0.054841474,0.099273001,0.028660436,423900,1954,0.305919003,1397.558967
6037103101,0.005005776,0.004620716,0.065845206,0.0,0.245283019,0.527146708,0.606019152,0.114362726,0.143242203,0.110512129,0.176742395,0.264921063,0.150309917,89211,0.065514759,0.070465922,0.058951965,509600,1958,0.147379913,1279.997697
6037190801,0.088005941,0.017823988,0.090605273,0.0,0.43557371,0.528035648,0.262802699,0.300779799,0.166357222,0.088005941,0.111028593,0.222428518,0.14054657,25997,0.199863574,0.404753063,0.085356304,793100,1956,0.962411903,8310.394628
