GEOID,obesity_cr
36081040700,31.9
36085030301,30.9
36081030600,34.1
36081099705,20.1
36081027400,32.2
36005037504,37.2
36085007400,29.4
36085029102,30.4
36047086800,32.8
36047070000,21.1
36081025302,23.7
36081049500,24.5
36047013100,20.1
36061010900,11.0
36047028700,28.6
36005028900,25.7
36047049500,19.1
36047045200,20.3
36081084602,32.0
36081055300,29.1
36005036501,35.9
36081113300,20.5
36081051100,23.4
36047032300,29.4
36005006000,32.7
36047075200,17.6
36047087800,32.8
36081083700,18.4
36061001501,15.9
36047016600,19.5
36081061900,23.9
36081007300,20.9
36047101000,26.4
36081054200,26.3
36061015500,15.8
36061011500,17.1
36085015100,29.4
36061030300,23.1
36047048800,23.2
36081062700,26.2
36061014402,15.7
36061019000,25.9
36047072200,29.3
36047027400,19.5
36081092900,24.4
36061023802,21.9
36047059800,21.7
36047040100,29.8
36081011500,21.4
36047059402,19.0
36061015002,15.9
36081006300,21.8
36047023300,28.3
36081000600,26.9
36047087200,33.2
36047058400,20.6
36047077000,29.6
36005014900,35.1
36047024900,27.6
36047062800,22.0
36081072100,23.7
36081036500,33.6
36005028100,23.5
36047096400,28.4
36061002602,18.8
36047014200,19.9
36047035000,22.4
36081040500,32.6
36005044800,31.1
36081032700,27.4
36047019000,21.4
36005030701,19.7
36061014700,13.9
36081077905,21.4
36047028300,32.6
36005005902,34.2
36085014606,28.5
36081064500,22.5
36047041800,24.0
36081114700,20.6
36047096200,29.5
36047055200,20.7
36047017900,27.0
36047027000,20.3
36081055500,28.7
36047073800,28.8
36061022500,25.5
36005033202,28.2
36005042400,30.5
36047044800,22.1
36047083800,29.1
36047018600,18.9
36047022200,26.2
36061024301,28.2
36005004100,38.3
36061019702,24.2
36047088400,33.0
36081015600,23.7
36047093000,31.0
36047102000,27.3
36081052600,33.8
36081049600,26.6
36047092000,36.7
36061010200,17.6
36047024600,21.0
36081070700,19.7
36085027301,28.6
36061004000,14.5
36047056900,19.1
36081015400,24.9
36081003100,25.5
