GEOID,obesity_cr
6037127605,33.5
6037271701,19.7
6037276000,21.9
6037213202,27.4
6037239601,35.8
6037189702,23.0
6037113234,26.6
6037216100,22.0
6037104310,31.0
6037123304,29.8
6037270300,27.3
6037183510,27.7
6037134720,25.8
6037185202,26.1
6037234800,33.1
6037273402,23.3
6037137402,22.7
6037186401,29.7
6037134302,23.7
6037241400,36.9
6037194102,22.6
6037208802,26.9
6037121222,32.3
6037267300,20.4
6037274202,23.2
6037185203,31.0
6037204920,33.7
6037119341,26.2
6037297000,24.6
6037224320,35.1
6037137104,23.3
6037128400,25.4
6037123410,29.3
6037103300,23.0
6037104403,31.1
6037294200,30.1
6037242000,36.9
6037125200,26.1
6037234200,29.8
6037134800,24.4
6037201601,26.6
6037229420,36.3
6037242300,37.3
6037131400,26.1
6037189201,24.2
6037271801,23.0
6037212800,25.3
6037190520,28.6
6037189701,21.5
6037241202,36.6
6037134521,31.6
6037265420,19.0
6037106603,20.9
6037106642,22.5
6037127102,29.8
6037267700,18.8
6037186201,22.4
6037128910,22.9
6037121210,25.2
6037231720,33.2
6037141400,22.2
6037294301,27.5
6037204910,33.8
6037190901,30.7
6037235201,36.0
6037134103,25.0
6037207710,20.2
6037115101,21.8
6037191410,31.1
6037197600,23.1
6037106010,28.5
6037134905,22.3
6037294610,32.1
6037203300,33.1
6037113212,23.0
6037190401,24.1
6037134306,25.5
6037211310,30.4
6037231800,37.4
6037228710,38.0
6037211921,23.9
6037231900,37.3
6037124400,24.0
6037141600,21.0
6037212305,30.1
6037217200,29.1
6037186403,25.3
6037123206,32.5
6037195500,21.2
6037269100,21.0
6037125320,26.9
6037122122,32.5
6037197300,23.6
6037113401,23.4
6037191203,29.8
6037115104,22.9
6037141303,22.1
6037124204,28.6
6037189600,23.4
6037214901,21.9
6037238310,39.1
6037264102,19.9
6037131600,26.7
6037203200,32.0
6037224310,35.6
6037131010,27.1
6037192002,22.7
6037241002,33.5
6037101400,25.3
6037235100,31.4
6037212502,20.6
6037183810,31.2
6037208401,30.1
6037191204,28.3
6037294302,33.1
6037183620,28.3
6037104105,31.0
6037241110,36.0
6037190301,25.9
6037111205,20.1
6037237101,37.3
6037134710,29.3
6037294810,34.5
6037269300,20.0
6037109100,23.6
6037134104,23.9
6037119201,29.3
6037132102,26.5
6037262501,20.8
6037108101,21.1
6037123010,35.5
6037269601,30.1
6037218220,31.3
6037231710,37.6
6037238000,34.8
6037293201,24.9
6037269500,20.1
6037211701,18.4
6037181300,20.3
6037134101,25.6
6037122000,24.0
6037194402,22.1
6037211802,21.6
6037240600,37.8
6037143602,21.9
6037189400,22.0
6037101122,22.7
6037123420,30.7
6037121101,28.8
