param,rmts
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 10}",3.9032690999554043
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 20}",3.8625865146729508
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 30}",3.8893014749390353
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 40}",3.909638618210126
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 50}",3.902300776037983
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 60}",3.9043358281863068
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 70}",3.9089016916998744
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 80}",3.90649242847724
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 90}",3.907940517257108
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 100}",3.905981719533943
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 110}",3.9110639481618787
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 120}",3.9186909886867625
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 130}",3.9215115398780207
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 140}",3.924421523730398
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 150}",3.9252209309842803
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 160}",3.925718071423642
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 170}",3.924007869965675
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 180}",3.924269637428458
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 190}",3.9228981361620487
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 200}",3.9225929146633005
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 210}",3.9229648796174645
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 220}",3.9215437420659587
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 230}",3.9241791907010284
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 240}",3.925341431761422
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 250}",3.9282729129224245
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 260}",3.929127098719201
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 270}",3.9311673234447815
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 280}",3.9290459406071307
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 290}",3.9286809649115915
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 300}",3.9288622952217134
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 310}",3.930500615588715
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 320}",3.9303027166283195
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 330}",3.9288403549183912
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 340}",3.9298961571446163
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 350}",3.931561724696947
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 360}",3.931673376385713
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 370}",3.9334694616021464
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 380}",3.9342084136296576
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 390}",3.9333748312924692
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 400}",3.9328027336589035
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 410}",3.9319802586120067
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 420}",3.9309792693983807
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 430}",3.932693193349762
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 440}",3.9323192197399908
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 450}",3.933768577320936
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 460}",3.934540901055582
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 470}",3.935094874292675
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 480}",3.9368863011051936
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 490}",3.938018841315728
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 500}",3.939228754904506
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 510}",3.9382803780524056
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 520}",3.938242691407536
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 530}",3.93843161110582
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 540}",3.938628798838911
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 550}",3.93820812637059
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 560}",3.9370602837025843
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 570}",3.936773433431746
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 580}",3.935708282859929
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 590}",3.935411814081674
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 600}",3.9353410472353327
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 610}",3.935014295065983
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 620}",3.9357356421425833
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 630}",3.9357123242434606
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 640}",3.935611175126051
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 650}",3.935494140564043
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 660}",3.9349568989218318
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 670}",3.934142642228099
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 680}",3.9343955474437715
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 690}",3.934916211573278
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 700}",3.934850784540417
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 710}",3.9342732623139822
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 720}",3.9346500897824317
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 730}",3.933626343557991
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 740}",3.9333383787645766
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 750}",3.933359231635978
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 760}",3.9330983986478287
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 770}",3.9321446039569774
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 780}",3.931437696908353
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 790}",3.932555678411802
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 800}",3.9323009196800243
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 810}",3.932630545941486
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 820}",3.9324873358901073
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 830}",3.933456800993691
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 840}",3.933429321967579
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 850}",3.933379516245957
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 860}",3.9340598327799103
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 870}",3.9344758582628065
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 880}",3.935000038318497
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 890}",3.9345085566369677
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 900}",3.9349061545065425
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 910}",3.934999178377587
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 920}",3.935004928266728
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 930}",3.935378786157959
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 940}",3.935472404256647
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 950}",3.93530242570431
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 960}",3.9355054326039016
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 970}",3.9347828633625497
"{'model__bootstrap': False, 'model__max_features': 21, 'model__n_estimators': 980}",3.9344612882270686
