GEOID,obesity_cr
36029001100,33.4
36029005801,37.4
36029006602,28.2
36029000500,38.6
36029006902,33.9
36029006701,30.2
36029003000,42.8
36029007101,42.4
36029006501,29.1
36029002300,37.3
36029003600,47.2
36029005900,39.0
36029005500,36.6
36029004500,29.8
36029007102,41.1
36029004401,44.0
36029005000,30.2
36029001600,47.0
36029004402,49.1
36029004200,45.1
36029004001,46.0
36029016800,46.6
36029016600,47.5
36029005300,26.2
36029002900,46.1
36029006702,30.5
36029004100,44.1
36029003700,46.9
36029002702,44.7
36029005802,37.8
36029005700,40.8
36029006302,26.7
36029016700,33.5
36029005600,39.0
36029003301,43.5
36029000200,36.1
36029003800,46.3
36029004800,27.0
36029016300,39.8
36029001000,32.4
36029005400,28.6
36029016500,31.6
36029006301,26.2
36029017000,43.5
36029001700,41.7
36029000110,34.3
36029003400,47.0
36029006800,30.8
36029006601,29.4
36029016400,42.3
36029005100,33.6
36029001900,30.0
36029004601,26.1
36029002502,41.7
