GEOID,obesity_cr,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density,Lonpro,Latpro
36081040700,31.9,0.045621225,0.007010354,0.035591027,0,0.917493529,0.541954271,0.414732143,0.172131148,0.205241588,0.137295082,0.09124245,0.090703192,0.456792287,50993,0.039767842,0.20291792,0.302752294,636600,1947,0.863404689,46498.33254,595764,4511670
36085030301,30.9,0.12035225,0.002544031,0.209197652,0,0.308610568,0.490019569,0.515054011,0.237573386,0.123483366,0.136007828,0.125440313,0.193150685,0.127330083,76641,0.058712121,0.087323391,0.047671233,355100,1977,0.317808219,7109.130015,571379,4496800
36081030600,34.1,0.855426678,0,0.032725766,0,0.067729909,0.45981773,0.457799145,0.142709196,0.158243579,0.114954432,0.130074565,0.194490472,0.151436874,75529,0.052151239,0.152285348,0.17136329,417100,1958,0.345011424,3575.395826,603092,4502270
36081099705,20.1,0,0,0.437406855,0,0.104694486,0.511922504,0.574672489,0.15685544,0.09538003,0.133010432,0.191505216,0.253353204,0.078817734,108009,0.015394913,0.077123696,0.032227488,624400,1981,0.275829384,539.3522364,603282,4516570
36081027400,32.2,0.819859962,0,0.037555697,0,0.047740293,0.355187778,0.322869955,0.125397836,0.122851687,0.150222788,0.218332272,0.218332272,0.140322581,65938,0.051546392,0.092297899,0.196180556,347600,1964,0.189236111,10936.60805,602332,4504480
36005037504,37.2,0.387210326,0.003520094,0,0.009973599,0.689058375,0.456145497,0.26540832,0.184218246,0.117336462,0.10149604,0.145497213,0.179524787,0.388837209,18906,0.121989122,0.501902346,0.521943574,371100,1946,0.976489028,14229.06753,593339,4522730
36085007400,29.4,0.04391468,0,0.15537432,0,0.166666667,0.460685905,0.614647137,0.15119197,0.132998745,0.162693434,0.110414053,0.206817231,0.173147023,76597,0.051587302,0.130646872,0.196904025,448100,1967,0.453869969,4864.779081,579309,4493900
36085029102,30.4,0.016139879,0,0.164088769,0,0.249495629,0.515803631,0.603732639,0.097175521,0.142568931,0.160726295,0.158036315,0.167114997,0.183161004,74720,0.014947683,0.126429052,0.077660594,445600,1982,0.143815916,273.7784098,568411,4495670
36047086800,32.8,0.833383459,0.010827068,0.022255639,0,0.126917293,0.423759398,0.390512334,0.195789474,0.101954887,0.107969925,0.107669173,0.25112782,0.200659444,44792,0.051552795,0.172088781,0.146579805,546100,1939,0.714983713,19057.17151,590481,4500930
36047070000,21.1,0.05259901,0.004331683,0.01980198,0,0.026608911,0.499381188,0.543740573,0.107673267,0.16460396,0.130569307,0.128094059,0.256188119,0.042757417,67375,0.047272727,0.076732673,0.081210191,627200,1962,0.407643312,8008.920828,592472,4497150
