,local_weight,local_model_num,r2,rmse
157,1,38,0.916505474,1.678162989
158,1,39,0.916492357,1.678294798
159,1,40,0.916445069,1.678769918
156,1,37,0.916437696,1.678843986
155,1,36,0.916428049,1.678940896
153,1,34,0.916417091,1.679050957
154,1,35,0.91634913,1.67973344
152,1,33,0.91629618,1.680264982
113,0.75,34,0.916232255,1.680906466
150,1,31,0.916220304,1.681026368
117,0.75,38,0.916212146,1.681108217
147,1,28,0.916209309,1.681136675
148,1,29,0.916202569,1.681204289
149,1,30,0.916193272,1.681297544
151,1,32,0.91619104,1.681319933
104,0.75,25,0.916182203,1.681408573
118,0.75,39,0.916181924,1.681411369
116,0.75,37,0.916181471,1.68141592
115,0.75,36,0.916181251,1.681418123
105,0.75,26,0.916180869,1.681421949
107,0.75,28,0.916170337,1.681527591
112,0.75,33,0.916170016,1.681530804
114,0.75,35,0.916163965,1.68159149
108,0.75,29,0.91615837,1.68164761
145,1,26,0.916151883,1.68171266
144,1,25,0.916148871,1.681742863
110,0.75,31,0.916145932,1.681772338
109,0.75,30,0.916139203,1.681839818
119,0.75,40,0.916137744,1.681854447
106,0.75,27,0.916130135,1.681930742
146,1,27,0.916124726,1.681984977
100,0.75,21,0.916122596,1.682006332
99,0.75,20,0.91611723,1.682060133
111,0.75,32,0.916105916,1.682173572
103,0.75,24,0.916077891,1.682454513
101,0.75,22,0.916065817,1.682575539
95,0.75,16,0.916054945,1.682684507
102,0.75,23,0.916052952,1.682704485
96,0.75,17,0.916024784,1.682986766
94,0.75,15,0.915999428,1.683240836
97,0.75,18,0.915994737,1.683287837
143,1,24,0.915966841,1.683567302
93,0.75,14,0.915951031,1.683725665
92,0.75,13,0.915946745,1.68376859
140,1,21,0.915938274,1.683853434
98,0.75,19,0.915930002,1.683936285
90,0.75,11,0.915912133,1.68411523
139,1,20,0.915904587,1.6841908
142,1,23,0.915896629,1.684270482
141,1,22,0.915894778,1.684289016
91,0.75,12,0.915876888,1.684468139
89,0.75,10,0.915841165,1.684825764
135,1,16,0.915768877,1.685549195
136,1,17,0.915726197,1.685976174
137,1,18,0.915697979,1.686258414
134,1,15,0.915661906,1.686619155
138,1,19,0.915614005,1.687098052
88,0.75,9,0.915596439,1.687273637
133,1,14,0.915533916,1.687898459
132,1,13,0.915493833,1.688298907
87,0.75,8,0.91547741,1.688462947
130,1,11,0.9153719,1.689516476
131,1,12,0.915363913,1.689596205
129,1,10,0.915214058,1.691091319
128,1,9,0.914912446,1.69409654
86,0.75,7,0.914854489,1.694673403
85,0.75,6,0.914780069,1.695413843
127,1,8,0.914678584,1.696423048
81,0.75,2,0.914674265,1.696465982
82,0.75,3,0.914652958,1.696677781
83,0.75,4,0.914637161,1.696834794
