GEOID,obesity_cr,% Black,% Ame Indi and AK Native,% Asian,% Nati Hawa and Paci Island,% Hispanic or Latino,% male,% married,% age 18-29,% age 30-39,% age 40-49,% age 50-59,% age >=60,% <highschool,median income,% unemployment,% below poverty line,% food stamp/SNAP,median value units built,median year units built,% renter-occupied housing units,population density,Lonpro,Latpro
6037127605,33.5,0.018509255,0,0.056028014,0,0.801150575,0.531015508,0.46185853,0.20010005,0.210105053,0.113556778,0.079289645,0.071785893,0.302725367,41701,0.102300538,0.285248369,0.185832567,469400,1976,0.927322907,6165.975475,363088,3784250
6037271701,19.7,0.126190064,0.003115804,0.235070106,0,0.156655704,0.480872425,0.385144429,0.274363857,0.180197334,0.136056777,0.0768565,0.203392764,0.021129893,91567,0.068696527,0.091652174,0.019501625,1045700,1968,0.726616107,5796.226082,368974,3766070
6037276000,21.9,0.047293652,0.013306959,0.133968711,0,0.2307139,0.506923215,0.517106348,0.11868369,0.132170473,0.136666067,0.184679015,0.270454954,0.033131856,124904,0.019414576,0.051789247,0.008768267,875400,1949,0.216283925,2379.01718,371676,3759610
6037213202,27.4,0.013926085,0.005623996,0.269416176,0,0.656936261,0.500535619,0.363458401,0.207552223,0.186930905,0.115693626,0.103374397,0.189876808,0.351434034,37656,0.092936803,0.27557579,0.117331288,577800,1943,0.829754601,11054.79436,379597,3768360
6037239601,35.8,0.184072747,0.017635712,0.002204464,0.01653348,0.793331496,0.510884541,0.403396226,0.185726095,0.187379443,0.114081014,0.116561036,0.081565169,0.470882621,36029,0.050236407,0.321369409,0.171806167,338600,1953,0.752202643,8597.610959,382188,3759880
6037189702,23,0.072727273,0,0.049760766,0,0.082296651,0.511961722,0.352345416,0.083253589,0.21291866,0.177990431,0.150717703,0.267942584,0.031676679,84583,0.133633634,0.137320574,0.021791768,1228900,1951,0.435835351,1433.500003,376319,3775440
6037113234,26.6,0.051058531,0.00747198,0.174761312,0,0.479452055,0.496471565,0.455632306,0.158572022,0.134495641,0.131382316,0.114362806,0.209007887,0.242386576,56375,0.029850746,0.163643944,0.127213115,236600,1978,0.504262295,4711.335367,353194,3788380
6037216100,22,0.165413534,0,0.196815568,0,0.082264485,0.505086245,0.372303061,0.113666519,0.187969925,0.182662539,0.127377267,0.237505529,0.024617068,100781,0.05988024,0.083591331,0,954300,1939,0.406030151,3350.895523,376519,3769280
6037104310,31,0.021456804,0.003576134,0.002823264,0,0.954263128,0.486918878,0.458355023,0.176736307,0.175230567,0.113871636,0.095990966,0.124035385,0.482726131,69904,0.052431611,0.12791587,0.199089875,388800,1957,0.281001138,3523.069374,368433,3793720
6037123304,29.8,0.022309108,0.040938362,0.072907084,0,0.396964121,0.479530819,0.455459369,0.171113155,0.138224471,0.126954922,0.120285189,0.209521619,0.15020436,37935,0.103797468,0.299908004,0.082134293,544500,1970,0.808752998,4947.971195,370446,3784840
6037270300,27.3,0.339756193,0.000393236,0.086511994,0,0.339756193,0.471883602,0.400281558,0.217066457,0.150609516,0.16633897,0.095949666,0.163586315,0.13413242,73375,0.051567944,0.081785855,0.024312896,818200,1950,0.447145877,2605.15109,373459,3767410
6037183510,27.7,0,0.029096478,0.055895865,0.001531394,0.73085758,0.505359877,0.485445589,0.18338438,0.191424196,0.128254211,0.13323124,0.167687596,0.259656652,70357,0.084411164,0.118781334,0.102067183,620000,1939,0.302325581,5221.984314,389045,3775600
6037134720,25.8,0.061332161,0,0.158056716,0,0.502088371,0.497471972,0.42703694,0.224005276,0.145526489,0.124642779,0.131677292,0.17234557,0.235558408,63510,0.108235294,0.144207518,0.056346749,491000,1971,0.504643963,4598.419211,355465,3785960
6037185202,26.1,0.033252883,0,0.106731027,0,0.569589702,0.46714937,0.425444162,0.201662644,0.156610351,0.164923572,0.123357468,0.175918477,0.208982925,63545,0.070222222,0.113349449,0.16955267,697000,1949,0.518037518,3094.220636,387729,3773360
6037234800,33.1,0.546317606,0.01726122,0.003164557,0,0.408515535,0.447065593,0.382033564,0.251726122,0.103855006,0.134637514,0.153912543,0.20023015,0.199523052,57646,0.078560568,0.142980437,0.099588477,349500,1941,0.438683128,5315.748747,377878,3760930
6037273402,23.3,0.042389853,0,0.02870494,0,0.109813084,0.525700935,0.298481102,0.185914553,0.314753004,0.106809079,0.094793057,0.242656876,0.02804428,63765,0.052132701,0.140840336,0.024,2000000,1959,0.800533333,2967.952846,363404,3762250
6037137402,22.7,0.030898302,0,0.047677512,0,0.078985062,0.47595662,0.544790652,0.068753837,0.093718027,0.134438306,0.139963168,0.370165746,0.048038431,100781,0.043243243,0.04439834,0.008819206,768800,1966,0.277315042,1585.915899,350206,3780590
6037186401,29.7,0.003200466,0.020948502,0.114343905,0,0.828338667,0.471341286,0.408705701,0.181553681,0.15042188,0.166424207,0.085248763,0.123072447,0.404083571,40282,0.073504274,0.225778295,0.187961985,595000,1958,0.892291447,3568.339886,385134,3775880
6037134302,23.7,0.019612971,0,0.139382845,0,0.276150628,0.47751046,0.513978495,0.175993724,0.143043933,0.081589958,0.199267782,0.231171548,0.080451658,95833,0.11548913,0.087585481,0.023162939,559500,1959,0.130990415,2926.814334,350719,3787100
6037241400,36.9,0.228046103,0.002469813,0.012623491,0,0.6967618,0.437431394,0.349025377,0.200054885,0.176454446,0.125960483,0.096322722,0.108946213,0.45314622,32460,0.047927461,0.334528406,0.220064725,315200,1959,0.687162891,6334.152625,382099,3754640
6037194102,22.6,0.047251114,0,0.118870728,0.007132244,0.085586924,0.53640416,0.518949468,0.100742942,0.162852897,0.113224368,0.211887073,0.279940565,0.019057893,126799,0.092293054,0.087072808,0.02189311,1653500,1967,0.212491951,960.8520602,373999,3775960
6037208802,26.9,0.058873479,0,0.228417775,0,0.585338239,0.467025191,0.341480447,0.203792811,0.198131899,0.099348995,0.112086046,0.172091707,0.305406521,32784,0.102498725,0.233795641,0.130286494,741700,1946,0.980218281,16712.55168,382000,3769780
6037121222,32.3,0.013945705,0.001301599,0.059873559,0,0.88081071,0.496838974,0.441367265,0.210859055,0.153216809,0.114912607,0.115656378,0.099293418,0.418910256,48883,0.074313409,0.276496839,0.162714636,453000,1971,0.686017989,4030.305983,371803,3788770
