local_weight,local_model_num,r2,rmse
0.5,40,0.946481216,1.248670645
0.5,39,0.946480453,1.248679547
0.5,38,0.946458105,1.248940224
0.5,37,0.946442148,1.249126316
0.5,36,0.946422898,1.249350778
0.5,35,0.946409545,1.249506461
0.5,34,0.946394491,1.249681944
0.5,33,0.946367589,1.249995483
0.5,32,0.946338068,1.25033945
0.5,31,0.946316588,1.250589669
0.5,30,0.946312443,1.250637952
0.5,29,0.946302797,1.250750298
0.5,28,0.946289128,1.250909481
0.5,27,0.946277154,1.251048911
0.5,25,0.94625523,1.251304156
0.5,26,0.946254842,1.251308676
0.5,24,0.946229771,1.25160049
0.75,40,0.946208568,1.25184724
0.75,39,0.946204073,1.251899538
0.5,23,0.946196568,1.251986859
0.5,6,0.946191679,1.252043741
0.5,7,0.946176598,1.252219194
0.5,16,0.946173444,1.252255879
0.75,38,0.946165126,1.25235263
0.5,17,0.946157902,1.252436649
0.5,22,0.946157042,1.252446657
0.5,8,0.946155441,1.252465271
0.5,18,0.946151298,1.252513462
0.5,21,0.946150833,1.252518868
0.5,9,0.946137743,1.252671091
0.75,37,0.94613757,1.252673106
0.5,20,0.946134764,1.252705738
0.5,19,0.946131902,1.252739017
0.5,11,0.946125605,1.252812229
0.5,15,0.946121261,1.25286274
0.5,12,0.946115154,1.252933746
0.5,10,0.946112674,1.252962569
0.5,14,0.946110892,1.252983291
0.5,13,0.946106188,1.253037982
0.75,36,0.946104953,1.253052335
0.5,5,0.946092206,1.253200508
0.75,35,0.946084884,1.253285615
0.75,34,0.946056997,1.253609694
0.75,33,0.946012666,1.254124701
0.75,32,0.945967745,1.254646355
0.5,3,0.945965926,1.254667474
0.5,4,0.945948617,1.254868417
0.5,2,0.945946585,1.254891996
0.75,31,0.945932404,1.2550566
0.75,30,0.945922113,1.255176038
0.75,29,0.945905945,1.25536366
0.75,28,0.945880504,1.255658823
0.5,1,0.945866265,1.255823998
0.75,27,0.945859936,1.255897414
0.75,26,0.945819379,1.256367729
0.75,25,0.945816932,1.256396096
0.75,24,0.945775079,1.256881243
0.25,39,0.945769305,1.256948156
0.25,40,0.94576857,1.256956676
0.25,38,0.94575994,1.25705669
0.25,37,0.945753168,1.257135152
0.25,36,0.945744791,1.25723222
0.25,35,0.945738127,1.257309426
0.25,34,0.945732369,1.257376136
0.75,23,0.945720547,1.25751309
0.25,33,0.945720244,1.257516598
0.25,32,0.945705697,1.257685092
2.50E-01,31,0.945695997,1.257797428
0.25,30,0.945695283,1.257805708
0.25,29,0.945691026,1.257855003
0.25,28,0.945685837,1.257915092
0.25,27,0.945680719,1.257974356
0.25,25,0.94567313,1.258062233
0.25,6,0.945673051,1.258063142
0.25,26,0.945671926,1.258076172
0.25,24,0.945661622,1.25819547
0.25,7,0.945660554,1.258207832
